,sectors,industries,num_observations
2520,[np.float32(3.0)],[np.float32(83.0)],732
2521,[np.float32(3.0)],[np.float32(43.0)],749
2524,[np.float32(8.0)],[np.float32(49.0)],44
2525,[np.float32(3.0)],[np.float32(24.0)],1
2526,[np.float32(4.0)],[np.float32(10.0)],177
2527,[np.float32(12.0)],[np.float32(28.0)],632
2530,[np.float32(6.0)],[np.float32(53.0)],489
2531,[np.float32(4.0)],[np.float32(56.0)],48
2532,[np.float32(1.0)],[np.float32(12.0)],741
2533,[np.float32(7.0)],[np.float32(18.0)],166
2536,[np.float32(4.0)],[np.float32(10.0)],147
2538,[np.float32(4.0)],[np.float32(10.0)],614
2539,[np.float32(4.0)],[np.float32(10.0)],750
2541,[np.float32(4.0)],[np.float32(56.0)],288
2544,[np.float32(3.0)],[np.float32(33.0)],619
2546,[np.float32(8.0)],[np.float32(21.0)],151
2548,[np.float32(11.0)],[np.float32(15.0)],750
2551,[np.float32(4.0)],[np.float32(14.0)],751
2554,[np.float32(2.0)],[np.float32(39.0)],398
2557,[np.float32(4.0)],[np.float32(14.0)],565
2558,[np.float32(4.0)],[np.float32(14.0)],383
2560,[np.float32(2.0)],[np.float32(39.0)],393
2561,[np.float32(11.0)],[np.float32(64.0)],715
2562,[np.float32(2.0)],[np.float32(39.0)],64
2566,[np.float32(7.0)],[np.float32(18.0)],748
2568,[np.float32(11.0)],[np.float32(64.0)],751
2569,[np.float32(7.0)],[np.float32(40.0)],486
2570,[np.float32(7.0)],[np.float32(18.0)],730
2571,[np.float32(7.0)],[np.float32(18.0)],532
2572,[np.float32(4.0)],[np.float32(14.0)],549
2573,[np.float32(3.0)],[np.float32(60.0)],40
2574,[np.float32(2.0)],[np.float32(39.0)],483
2575,[np.float32(7.0)],"[np.float32(18.0), np.float32(58.0)]",750
2579,[np.float32(8.0)],[np.float32(69.0)],45
2580,[np.float32(2.0)],[np.float32(39.0)],472
2586,[np.float32(2.0)],[np.float32(39.0)],750
2588,[np.float32(6.0)],[np.float32(22.0)],78
2589,[np.float32(2.0)],[np.float32(66.0)],749
2591,[np.float32(8.0)],[np.float32(49.0)],147
2592,[np.float32(6.0)],[np.float32(22.0)],225
2595,[np.float32(3.0)],[np.float32(33.0)],345
2596,[np.float32(6.0)],[np.float32(53.0)],9
2598,[np.float32(4.0)],[np.float32(10.0)],7
2599,[np.float32(4.0)],[np.float32(14.0)],243
2601,[np.float32(7.0)],[np.float32(38.0)],738
2604,[np.float32(4.0)],[np.float32(56.0)],75
2605,[np.float32(11.0)],[np.float32(64.0)],61
2606,[np.float32(8.0)],[np.float32(21.0)],362
2607,[np.float32(4.0)],[np.float32(14.0)],437
2608,[np.float32(3.0)],[np.float32(60.0)],60
2609,[np.float32(6.0)],[np.float32(22.0)],748
2611,[np.float32(4.0)],[np.float32(10.0)],72
2612,[np.float32(11.0)],[np.float32(64.0)],66
2614,[np.float32(4.0)],[np.float32(30.0)],470
2615,[np.float32(11.0)],[np.float32(15.0)],699
2616,[np.float32(4.0)],[np.float32(10.0)],731
2618,[np.float32(7.0)],[np.float32(38.0)],694
2621,[np.float32(4.0)],[np.float32(56.0)],12
2622,[np.float32(8.0)],[np.float32(47.0)],749
2623,"[np.float32(4.0), np.float32(5.0)]","[np.float32(14.0), np.float32(32.0)]",729
2625,[np.float32(4.0)],[np.float32(31.0)],749
